UserName,AgeRange,Gender,Orientation,CurrentStatus,TogetherTime,RelationshipDescription,Value1,SelfValue1,PartnerValue1,Value2,SelfValue2,PartnerValue2,Value3,SelfValue3,PartnerValue3,Value4,SelfValue4,PartnerValue4,Value4,SelfValue5,PartnerValue5,Type1,PartnerType1,Type2,PartnerType2,Type3,PartnerType3,Type4,PartnerType4,Type5,PartnerType5,S_DecisionMakingProcess,QP_EmotionalIntelligence,Q_Jealous,Q_PartnerJealous,Q_Manipulative,QP_SexualChemistry,Q_AttractionLoss,Q_Suffocated,Q_Attention,Q_CouldDoBetter,Q_NotGoodEnough,QP_Longterm,QP_Independent,Q_Coping,QP_SelfCare,Q_EmotionallyDrained,Q_Depressed,Q_Abused,Q_PartnerAbuse,Q_ShutDown,Q_PartnerShutDown,Q_PrivacyRespected,Q_OnOff,Q_Judged,QP_Communication,Q_Controlled,Q_Trapped,QP_TrueToSelf,Q_ComparedToOthers,Q_MovedTooFast,Q_ShowOff,S1_LogicVsFeelings,S1_QuitsVsStays,S1_PracticalVsEmotional,S1_CompatibilityVsChemistry,S2_ImprovementVsAcceptance,S2_ShortcomingsVSAcceptance,S2_PickyVsPositives,S3_SocialAcceptanceVsDontCare,S3_SimilarVsDifferent,S4_LowStandardsVsHighStandards,S4_ImBetterVsMatch,S4_StayIfImBetterVsStayIfPartnerBetter
,25-34,Male,Heterosexual,We are currently together.,2-4 years,I thought we were a good match.,Education/Knowledge/Street Smarts,8,8,Honesty/Dependable/Reliable,8,8,Financial Choices,7,7,Occupation/Work Ethic/Self-Discipline,4,7,Communication Style/Manners,8,8,Social/Outgoing/Extroverted,9,Body Shape/Height/Appearance,7,Humorous/Witty/Clever,8,Beta/Easygoing/Mild-mannered,8,Intuitive/Good instinct/Emotionally Intelligent,9,75,I consider myself emotionally intelligent,,,,,,,,,,,,,Self-care was important to me,,,,,,,,,,We had good communication,,,I was able to stay true to my identity,,,,30,50,51,51,50,49,60,16,49,80,49,48
,35-44,Male,Heterosexual,We are currently together.,2-4 years,I thought we were a good match.,Honesty/Dependable/Reliable,6,7,Education/Knowledge/Street Smarts,5,5,Communication Style/Manners,5,4,Family Values,6,6,Confidence/Self-Esteem,5,5,Generous/Thoughtful/Kind,8,Passionate/Driven/Ambitious,10,Spontaneous/Unpredictable,7,Intuitive/Good instinct/Emotionally Intelligent,3,Controlling/Dominant,4,,I consider myself emotionally intelligent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,92,51,48,100,100,53,,,51,100,100
,45-54,Female,Heterosexual,We are currently together.,7 years+,He/She was slightly out of my league.,Family Values,8,7,Education/Knowledge/Street Smarts,7,6,Religious/Spiritual Values,6,5,Communication Style/Manners,6,5,Honesty/Dependable/Reliable,7,6,Beta/Easygoing/Mild-mannered,7,Social/Outgoing/Extroverted,3,Passionate/Driven/Ambitious,7,Body Shape/Height/Appearance,3,Open-minded/Curious/Free-Spirited,6,51,I consider myself emotionally intelligent,,,,,,,,,,,,,Self-care was important to me,I often felt emotionally drained,,,,I often shut down,,,,,,,,,,,,57,59,69,56,70,70,69,65,69,49,50,54
,25-34,Female,Heterosexual,He/She broke up with me.,3-6 months,I was slightly out of his/her league.,Family Values,7,2,Religious/Spiritual Values,5,,Occupation/Work Ethic/Self-Discipline,7,2,Confidence/Self-Esteem,9,,Communication Style/Manners,5,5,Humorous/Witty/Clever,5,Spontaneous/Unpredictable,10,Body Shape/Height/Appearance,8,Open-minded/Curious/Free-Spirited,2,Presence/Vibe,3,98,,,,He/she was manipulative,We had great sexual chemistry throughout the relationship,,I often felt suffocated,,,I felt I was not good enough for him/her,,,,,I often felt emotionally drained,I often felt depressed or anxious or angry,I was verbally and/or emotionally abused,,,,,,I often felt judged by my partner,,I felt controlled,I felt trapped/stuck in the relationship/situationship,,,We moved too fast,,48,50,82,0,30,50,72,72,27,49,50,49
,45-54,Female,Bisexual,We are currently together.,7 years+,I thought we were a good match.,Other (please specify),10,10,Honesty/Dependable/Reliable,9,10,Communication Style/Manners,9,8,Other (please specify),8,10,Other (please specify),9,8,Humorous/Witty/Clever,9,Other (please specify),10,Generous/Thoughtful/Kind,10,Body Shape/Height/Appearance,8,Beta/Easygoing/Mild-mannered,9,40,I consider myself emotionally intelligent,,,,We had great sexual chemistry throughout the relationship,,,,,I felt I was not good enough for him/her,,He/she encouraged me to be independent,,Self-care was important to me,,,,,,,,,,We had good communication,,,I was able to stay true to my identity,,,,79,24,72,22,49,51,50,89,34,61,98,78
,25-34,Female,Heterosexual,It was a mutual break up.,6 months - 1 year,I thought we were a good match.,Honesty/Dependable/Reliable,10,10,Education/Knowledge/Street Smarts,10,10,Financial Choices,10,10,"Household Care, Maintenance and Cleanliness",10,10,Communication Style/Manners,10,10,Body Shape/Height/Appearance,5,Social/Outgoing/Extroverted,6,Generous/Thoughtful/Kind,6,Open-minded/Curious/Free-Spirited,6,Presence/Vibe,7,49,I consider myself emotionally intelligent,,,,,,,I often wanted more attention/affection than my partner,,,,,,,,,,,,,,,,,,,,,,,51,53,55,61,100,85,100,50,51,91,48,50
,25-34,Female,Heterosexual,We are currently together.,1-2 years,I thought we were a good match.,Honesty/Dependable/Reliable,10,10,Occupation/Work Ethic/Self-Discipline,10,5,Family Values,10,10,Education/Knowledge/Street Smarts,5,5,Financial Choices,4,5,Open-minded/Curious/Free-Spirited,7,Race/Ethnicity,8,Humorous/Witty/Clever,10,Beta/Easygoing/Mild-mannered,10,Generous/Thoughtful/Kind,10,52,I consider myself emotionally intelligent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,53,100,2,48,47,50,52,0,52,47,48
,18-24,Female,Heterosexual,We are currently together.,6 months - 1 year,I thought we were a good match.,Other (please specify),8,6,Honesty/Dependable/Reliable,10,7,Communication Style/Manners,7,8,Family Values,10,10,"Cultured/Well-traveled/""Woke""",10,10,Generous/Thoughtful/Kind,7,Body Shape/Height/Appearance,8,Race/Ethnicity,10,Humorous/Witty/Clever,8,Passionate/Driven/Ambitious,10,50,I consider myself emotionally intelligent,,,,We had great sexual chemistry throughout the relationship,,,I often wanted more attention/affection than my partner,,,,He/she encouraged me to be independent,I had unhealthy coping mechanisms to deal with relationship stress,,I often felt emotionally drained,,,,,,,,,We had good communication,,,,Often compared my partner to other people or other relationships,,,100,100,52,52,51,20,50,93,52,51,100,52
,45-54,Male,Heterosexual,We are currently together.,Under 1 month,I thought we were a good match.,Pursuing a Greater Purpose,7,8,Education/Knowledge/Street Smarts,7,8,Honesty/Dependable/Reliable,9,9,Occupation/Work Ethic/Self-Discipline,8,9,Confidence/Self-Esteem,8,8,Generous/Thoughtful/Kind,9,Intuitive/Good instinct/Emotionally Intelligent,9,Open-minded/Curious/Free-Spirited,8,Passionate/Driven/Ambitious,9,Humorous/Witty/Clever,8,75,I consider myself emotionally intelligent,,,,,,,,,,I wished for something long-term,,,,,,,,,,,We had on/off relationship/situationship,,,,,,,,,59,68,53,40,38,38,34,56,61,65,75,73
,35-44,Male,Heterosexual,I broke up with him/her.,6 months - 1 year,I thought we were a good match.,Image/Fashion Sense/Body Modification,5,10,Confidence/Self-Esteem,8,9,Communication Style/Manners,9,7,Education/Knowledge/Street Smarts,10,6,Pursuing a Greater Purpose,9,5,Body Shape/Height/Appearance,9,Spontaneous/Unpredictable,9,Emotionally Unavailable/Aloof,9,Open-minded/Curious/Free-Spirited,9,Race/Ethnicity,9,63,,I was jealous,,He/she was manipulative,,,,I often wanted more attention/affection than my partner,,,I wished for something long-term,,I had unhealthy coping mechanisms to deal with relationship stress,Self-care was important to me,I often felt emotionally drained,I often felt depressed or anxious or angry,,,,He/she often shut down,,We had on/off relationship/situationship,,,,,,,,,91,87,75,69,50,22,27,26,49,27,50,51
,35-44,Male,Heterosexual,It was a mutual break up.,2-4 years,I was slightly out of his/her league.,Pursuing a Greater Purpose,6,4,Family Values,7,8,Honesty/Dependable/Reliable,8,9,Social Status/Sociability,4,7,Self-Care/Personal Hygiene/Cleanliness,5,8,Intuitive/Good instinct/Emotionally Intelligent,4,Generous/Thoughtful/Kind,5,Open-minded/Curious/Free-Spirited,5,Sexual/Sensual,4,Humorous/Witty/Clever,4,68,I consider myself emotionally intelligent,,,,,,,I often wanted more attention/affection than my partner,I felt I could do better,,I wished for something long-term,,,,I often felt emotionally drained,,I was verbally and/or emotionally abused,I verbally and/or emotionally abused him/her,,He/she often shut down,,We had on/off relationship/situationship,I often felt judged by my partner,,,I felt trapped/stuck in the relationship/situationship,I was able to stay true to my identity,Often compared my partner to other people or other relationships,,,60,100,100,55,51,95,100,100,100,13,100,6
,25-34,Female,Heterosexual,I broke up with him/her.,1-2 years,I was very much out of his/her league.,Religious/Spiritual Values,6,0,Communication Style/Manners,8,0,"Cultured/Well-traveled/""Woke""",7,0,Charitable/Philanthropic,6,0,Pursuing a Greater Purpose,9,0,Open-minded/Curious/Free-Spirited,0,Generous/Thoughtful/Kind,1,Emotionally Unavailable/Aloof,10,Selfish/Self-Centered/Uncompromising,10,Intuitive/Good instinct/Emotionally Intelligent,0,100,I consider myself emotionally intelligent,,,He/she was manipulative,,,,,I felt I could do better,,,,,Self-care was important to me,I often felt emotionally drained,I often felt depressed or anxious or angry,I was verbally and/or emotionally abused,,I often shut down,He/she often shut down,,,I often felt judged by my partner,,I felt controlled,,,,,I often felt my partner was showing off,100,51,69,43,34,34,49,38,36,31,49,73
,55-64,Female,Heterosexual,He/She broke up with me.,7 years+,I thought we were a good match.,Honesty/Dependable/Reliable,9,5,Artsy/Creative/Musical,7,3,Confidence/Self-Esteem,6,9,Family Values,7,7,Occupation/Work Ethic/Self-Discipline,9,9,Beta/Easygoing/Mild-mannered,8,Humorous/Witty/Clever,8,Passionate/Driven/Ambitious,8,Generous/Thoughtful/Kind,5,Presence/Vibe,7,60,I consider myself emotionally intelligent,,,,We had great sexual chemistry throughout the relationship,,,,,,,,,,,,,,,,,,,We had good communication,,,,,,I often felt my partner was showing off,50,79,52,52,36,40,42,68,51,65,60,54
,35-44,Female,Bisexual,We are currently together.,7 years+,I thought we were a good match.,Family Values,7,7,"Household Care, Maintenance and Cleanliness",5,10,Communication Style/Manners,4,7,Honesty/Dependable/Reliable,7,6,Financial Choices,7,5,Body Shape/Height/Appearance,8,Alpha/Leader,9,Humorous/Witty/Clever,7,Generous/Thoughtful/Kind,7,Spontaneous/Unpredictable,6,61,,,,He/she was manipulative,We had great sexual chemistry throughout the relationship,,,,,I felt I was not good enough for him/her,,,I had unhealthy coping mechanisms to deal with relationship stress,Self-care was important to me,,I often felt depressed or anxious or angry,,,I often shut down,,,,,We had good communication,I felt controlled,,,,,,60,44,74,50,100,56,37,63,0,83,50,51
,25-34,Female,Heterosexual,We are currently together.,7 years+,I thought we were a good match.,Honesty/Dependable/Reliable,8,10,Communication Style/Manners,8,8,Education/Knowledge/Street Smarts,6,9,Artsy/Creative/Musical,8,10,Charitable/Philanthropic,7,10,Humorous/Witty/Clever,10,Spontaneous/Unpredictable,8,Body Shape/Height/Appearance,10,Open-minded/Curious/Free-Spirited,7,Generous/Thoughtful/Kind,9,18,I consider myself emotionally intelligent,,,,We had great sexual chemistry throughout the relationship,,,,,,,He/she encouraged me to be independent,,Self-care was important to me,,,,,,,,,,We had good communication,,,I was able to stay true to my identity,,,,67,17,75,32,80,100,69,0,25,96,77,53
,35-44,Female,Heterosexual,I broke up with him/her.,1-3 months,I was slightly out of his/her league.,Honesty/Dependable/Reliable,8,5,Religious/Spiritual Values,8,4,Pursuing a Greater Purpose,10,7,Self-Care/Personal Hygiene/Cleanliness,6,7,Education/Knowledge/Street Smarts,10,8,Alpha/Leader,5,Race/Ethnicity,10,Humorous/Witty/Clever,7,Presence/Vibe,8,Open-minded/Curious/Free-Spirited,2,38,I consider myself emotionally intelligent,,,,,,,I often wanted more attention/affection than my partner,,,,He/she encouraged me to be independent,,Self-care was important to me,,,,,,He/she often shut down,,We had on/off relationship/situationship,,,,,I was able to stay true to my identity,,,,53,,67,38,0,22,98,43,69,67,72,35
,35-44,Female,Heterosexual,We are currently together.,3-6 months,I was slightly out of his/her league.,Honesty/Dependable/Reliable,6,4,Financial Choices,5,5,Education/Knowledge/Street Smarts,9,7,Occupation/Work Ethic/Self-Discipline,10,10,Artsy/Creative/Musical,9,9,Passionate/Driven/Ambitious,6,Alpha/Leader,8,Humorous/Witty/Clever,8,Presence/Vibe,8,Social/Outgoing/Extroverted,7,54,,,,,,,,I often wanted more attention/affection than my partner,,,I wished for something long-term,,,,,,,,I often shut down,He/she often shut down,,,,,,,,,,,,49,51,23,50,50,36,,,86,79,84
,35-44,Female,Heterosexual,I broke up with him/her.,2-4 years,I was very much out of his/her league.,Family Values,9,6,Honesty/Dependable/Reliable,10,2,Communication Style/Manners,9,1,Other (please specify),9,2,"Household Care, Maintenance and Cleanliness",9,5,Humorous/Witty/Clever,1,Social/Outgoing/Extroverted,8,Alpha/Leader,7,Generous/Thoughtful/Kind,6,Passionate/Driven/Ambitious,7,49,,,,He/she was manipulative,We had great sexual chemistry throughout the relationship,,,,,,I wished for something long-term,,,,I often felt emotionally drained,,I was verbally and/or emotionally abused,,I often shut down,,,,,,I felt controlled,I felt trapped/stuck in the relationship/situationship,,,,I often felt my partner was showing off,50,21,45,45,48,18,47,92,3,20,98,51
,25-34,Female,Heterosexual,It was a mutual break up.,3-6 months,I was slightly out of his/her league.,Communication Style/Manners,7,3,Honesty/Dependable/Reliable,5,7,Family Values,9,8,Occupation/Work Ethic/Self-Discipline,5,8,"Cultured/Well-traveled/""Woke""",10,4,Humorous/Witty/Clever,5,Social/Outgoing/Extroverted,8,Body Shape/Height/Appearance,5,Generous/Thoughtful/Kind,7,Open-minded/Curious/Free-Spirited,6,18,I consider myself emotionally intelligent,,,,,,I often felt suffocated,,I felt I could do better,,,,I had unhealthy coping mechanisms to deal with relationship stress,Self-care was important to me,I often felt emotionally drained,I often felt depressed or anxious or angry,,,,,,,,,,,I was able to stay true to my identity,,We moved too fast,I often felt my partner was showing off,51,11,50,67,53,71,11,29,40,94,51,53
,25-34,Male,Heterosexual,We are currently together.,7 years+,He/She was very much out of my league,Honesty/Dependable/Reliable,7,10,Occupation/Work Ethic/Self-Discipline,10,10,Pursuing a Greater Purpose,9,10,Communication Style/Manners,6,7,Education/Knowledge/Street Smarts,10,9,Passionate/Driven/Ambitious,10,Body Shape/Height/Appearance,10,Generous/Thoughtful/Kind,9,Open-minded/Curious/Free-Spirited,10,Alpha/Leader,10,87,,,She/He was jealous,,We had great sexual chemistry throughout the relationship,,,I often wanted more attention/affection than my partner,,I felt I was not good enough for him/her,,,,,,,,,I often shut down,,,,I often felt judged by my partner,We had good communication,,,I was able to stay true to my identity,Often compared my partner to other people or other relationships,,,62,51,100,57,65,44,93,74,5,92,35,54
,55-64,Female,Heterosexual,We are currently together.,1-2 years,I thought we were a good match.,Honesty/Dependable/Reliable,8,8,Artsy/Creative/Musical,10,10,Education/Knowledge/Street Smarts,9,9,Occupation/Work Ethic/Self-Discipline,9,6,Religious/Spiritual Values,9,9,Humorous/Witty/Clever,10,Intuitive/Good instinct/Emotionally Intelligent,9,Presence/Vibe,9,Sexual/Sensual,10,Generous/Thoughtful/Kind,10,50,I consider myself emotionally intelligent,,,,We had great sexual chemistry throughout the relationship,,,,,,,,,,,,,,,,,,,,,,,,,,72,58,49,48,53,52,67,43,29,100,81,53
,35-44,Female,Bisexual,We are currently together.,7 years+,I thought we were a good match.,Honesty/Dependable/Reliable,9,9,Education/Knowledge/Street Smarts,6,10,Occupation/Work Ethic/Self-Discipline,7,7,Family Values,10,10,Communication Style/Manners,8,8,Humorous/Witty/Clever,10,Generous/Thoughtful/Kind,10,Passionate/Driven/Ambitious,3,Sexual/Sensual,5,Body Shape/Height/Appearance,8,50,I consider myself emotionally intelligent,,She/He was jealous,,,I was sexually/physically attracted in the beginning and lost it over time,,I often wanted more attention/affection than my partner,,,I wished for something long-term,He/she encouraged me to be independent,I had unhealthy coping mechanisms to deal with relationship stress,Self-care was important to me,I often felt emotionally drained,I often felt depressed or anxious or angry,,,,,,,,We had good communication,,,I was able to stay true to my identity,,,,50,0,100,71,69,49,76,0,28,100,100,51
,25-34,Female,Bisexual,We are currently together.,7 years+,I thought we were a good match.,Honesty/Dependable/Reliable,9,9,Other (please specify),9,9,Education/Knowledge/Street Smarts,6,8,Financial Choices,6,6,"Household Care, Maintenance and Cleanliness",5,6,Humorous/Witty/Clever,9,Intuitive/Good instinct/Emotionally Intelligent,8,Body Shape/Height/Appearance,8,Presence/Vibe,8,Social/Outgoing/Extroverted,4,64,,,,,,,,I often wanted more attention/affection than my partner,,I felt I was not good enough for him/her,,He/she encouraged me to be independent,I had unhealthy coping mechanisms to deal with relationship stress,Self-care was important to me,,I often felt depressed or anxious or angry,,,I often shut down,,,We had on/off relationship/situationship,,We had good communication,,,,,,,49,80,76,37,49,49,67,51,49,73,90,70
,35-44,Male,Heterosexual,We are currently together.,7 years+,I thought we were a good match.,Family Values,7,8,Occupation/Work Ethic/Self-Discipline,7,7,Honesty/Dependable/Reliable,10,10,Education/Knowledge/Street Smarts,7,7,Communication Style/Manners,7,6,Intuitive/Good instinct/Emotionally Intelligent,8,Social/Outgoing/Extroverted,10,,,Open-minded/Curious/Free-Spirited,8,Passionate/Driven/Ambitious,8,23,I consider myself emotionally intelligent,,,,,,,,,,I wished for something long-term,,,,,,,,,,,,,We had good communication,,,I was able to stay true to my identity,Often compared my partner to other people or other relationships,,,50,26,53,47,49,48,34,27,16,31,49,49
,25-34,Female,Heterosexual,We are currently together.,7 years+,,Honesty/Dependable/Reliable,5,5,Education/Knowledge/Street Smarts,5,5,Financial Choices,3,7,Education/Knowledge/Street Smarts,5,8,Occupation/Work Ethic/Self-Discipline,5,5,Soft-spoken/Shy/Introverted,6,Humorous/Witty/Clever,6,Generous/Thoughtful/Kind,6,Passionate/Driven/Ambitious,6,Intuitive/Good instinct/Emotionally Intelligent,4,51,I consider myself emotionally intelligent,,,,,,,,,,I wished for something long-term,He/she encouraged me to be independent,,Self-care was important to me,,,,,,,,,,We had good communication,,,I was able to stay true to my identity,,,,90,56,51,59,52,59,62,66,52,94,50,51
,35-44,Female,Bisexual,He/She broke up with me.,6 months - 1 year,I thought we were a good match.,Honesty/Dependable/Reliable,10,5,Education/Knowledge/Street Smarts,10,10,Occupation/Work Ethic/Self-Discipline,9,10,Confidence/Self-Esteem,5,2,Materialism/Superficiality,8,10,Generous/Thoughtful/Kind,7,Body Shape/Height/Appearance,6,Race/Ethnicity,10,Humorous/Witty/Clever,5,Passionate/Driven/Ambitious,5,28,I consider myself emotionally intelligent,,,,,,,I often wanted more attention/affection than my partner,,,I wished for something long-term,He/she encouraged me to be independent,I had unhealthy coping mechanisms to deal with relationship stress,,,,,,,He/she often shut down,,,,,,,,Often compared my partner to other people or other relationships,We moved too fast,,50,83,49,25,50,29,,51,26,79,100,81
,35-44,Male,Heterosexual,We are currently together.,7 years+,I thought we were a good match.,Confidence/Self-Esteem,7,6,Image/Fashion Sense/Body Modification,7,7,Occupation/Work Ethic/Self-Discipline,9,5,Communication Style/Manners,8,9,Financial Choices,5,6,Generous/Thoughtful/Kind,10,Body Shape/Height/Appearance,3,Intuitive/Good instinct/Emotionally Intelligent,7,Sexual/Sensual,1,Humorous/Witty/Clever,5,52,I consider myself emotionally intelligent,,,,,I was sexually/physically attracted in the beginning and lost it over time,,,,,,,,Self-care was important to me,,,,,I often shut down,He/she often shut down,,,I often felt judged by my partner,We had good communication,,I felt trapped/stuck in the relationship/situationship,I was able to stay true to my identity,,,,51,80,51,41,,29,58,94,68,79,83,46
